member_id,birth_date,hire_date,prior_termination_date,rehire_date,termination_date,retirement_date,plan_tier,survivor_option
MBR-00348,1969-01-28,2008-01-26,,,2035-01-01,2035-01-01,lay,none
MBR-00349,1970-10-03,2011-03-07,,,2040-09-01,2040-09-01,lay,none
MBR-00350,1973-09-11,2014-08-18,,,,,clergy,js50
MBR-00351,1974-09-06,2003-10-19,,,,,clergy,js100
MBR-00352,1963-08-09,1989-03-13,,,2031-12-01,2031-12-01,clergy,js50
MBR-00353,1949-11-02,1986-02-05,,,2013-01-01,2013-01-01,clergy,none
MBR-00354,1947-10-16,1971-02-13,,,2017-03-01,2017-03-01,lay,js100
MBR-00355,1960-07-16,1998-11-10,,,,,clergy,js100
MBR-00356,1958-08-08,1992-10-20,,,2023-09-01,2023-09-01,clergy,js50
MBR-00357,1946-01-28,1980-08-16,,,2011-04-01,2011-04-01,clergy,js50
MBR-00358,1948-07-23,1984-02-03,,,,,lay,none
MBR-00359,1975-03-04,2013-10-01,,,2043-09-01,2043-09-01,lay,js50
MBR-00360,1972-07-26,2012-01-25,,,,,clergy,js50
MBR-00361,1952-04-27,1992-12-28,,,2014-09-01,2014-09-01,clergy,js50
MBR-00362,1960-04-20,1987-09-23,,,2028-05-01,2028-05-01,clergy,none
MBR-00363,1970-06-17,2009-06-25,,,,,clergy,none
MBR-00364,1962-11-11,1990-07-16,,,,,lay,js50
MBR-00365,1946-09-06,1988-02-07,,,2017-01-01,2017-01-01,clergy,js50
MBR-00366,1962-12-13,1988-08-06,,,,,lay,js100
MBR-00367,1967-05-20,2010-01-06,,,,,clergy,js50
MBR-00368,1950-03-04,1977-08-27,,,,,lay,js50
MBR-00369,1967-03-08,2008-12-24,,,2038-10-01,2038-10-01,clergy,none
MBR-00370,1962-01-27,1993-07-12,,,2023-12-01,2023-12-01,lay,js100
MBR-00371,1965-02-15,1992-12-03,,,2035-09-01,2035-09-01,lay,js50
MBR-00372,1963-08-25,2003-05-09,,,2027-09-01,2027-09-01,clergy,js50
MBR-00373,1975-02-17,2001-06-05,,,,,clergy,js50
MBR-00374,1968-01-02,2003-11-18,,,2030-04-01,2030-04-01,lay,js50
MBR-00375,1964-03-27,1992-04-13,,,2031-08-01,2031-08-01,clergy,none
MBR-00376,1970-03-28,2013-08-13,,,2040-09-01,2040-09-01,clergy,js100
MBR-00377,1959-02-24,1998-06-19,,,,,clergy,js50
MBR-00378,1957-05-28,1986-05-24,,,2022-12-01,2022-12-01,clergy,js50
MBR-00379,1955-01-16,1997-02-20,,,2021-05-01,2021-05-01,clergy,js50
MBR-00380,1946-10-13,1986-09-08,,,,,clergy,js100
MBR-00381,1973-10-11,2009-09-21,,,2034-10-01,2034-10-01,clergy,js100
MBR-00382,1950-11-14,1980-02-16,,,,,lay,js50
MBR-00383,1971-06-07,1998-08-20,,,2035-05-01,2035-05-01,clergy,js100
MBR-00384,1947-05-01,1979-10-23,,,2016-01-01,2016-01-01,clergy,none
MBR-00385,1946-09-06,1981-08-06,,,2015-09-01,2015-09-01,clergy,js50
MBR-00386,1961-01-18,1989-10-08,,,,,lay,js100
MBR-00387,1962-10-02,1987-09-06,,,2022-12-01,2022-12-01,clergy,none
MBR-00388,1967-04-09,1998-03-28,,,2037-03-01,2037-03-01,lay,js50
MBR-00389,1948-11-13,1986-02-10,,,2010-01-01,2010-01-01,clergy,js50
MBR-00390,1952-09-01,1988-02-06,,,,,clergy,js50
MBR-00391,1968-09-22,2011-03-13,,,2031-04-01,2031-04-01,clergy,none
MBR-00392,1960-03-28,1991-11-01,,,2024-07-01,2024-07-01,clergy,none
MBR-00393,1947-02-25,1973-03-15,,,,,clergy,js100
MBR-00394,1964-08-10,1993-12-21,,,2035-05-01,2035-05-01,clergy,none
MBR-00395,1958-02-15,1982-05-19,,,2024-09-01,2024-09-01,clergy,js100
MBR-00396,1948-07-11,1972-09-13,,,2011-12-01,2011-12-01,clergy,js100
MBR-00397,1952-11-23,1978-11-13,,,2014-11-01,2014-11-01,clergy,none
MBR-00398,1966-10-05,1996-01-25,,,2029-07-01,2029-07-01,lay,js50
MBR-00399,1950-04-07,1992-02-25,,,2013-08-01,2013-08-01,clergy,js50
MBR-00400,1963-03-19,1994-12-24,,,2027-05-01,2027-05-01,clergy,js100
MBR-00401,1975-07-08,2011-03-14,,,2041-07-01,2041-07-01,clergy,js100
MBR-00402,1965-08-08,1992-09-20,,,,,lay,js100
MBR-00403,1961-07-19,1987-04-04,,,2028-04-01,2028-04-01,lay,none
MBR-00404,1950-01-07,1988-10-28,,,2015-07-01,2015-07-01,lay,js100
MBR-00405,1975-04-13,2004-10-13,,,2044-07-01,2044-07-01,lay,js50
MBR-00406,1961-01-16,2002-06-06,,,2025-05-01,2025-05-01,lay,js100
MBR-00407,1966-05-02,2007-01-14,,,2029-04-01,2029-04-01,lay,js100
MBR-00408,1975-11-27,2007-01-08,,,2044-06-01,2044-06-01,clergy,js100
MBR-00409,1960-05-28,1990-03-18,,,,,lay,js50
MBR-00410,1969-01-28,2012-03-13,,,,,lay,js50
MBR-00411,1974-02-08,2011-02-17,,,,,lay,js50
MBR-00412,1953-02-14,1989-01-12,,,2018-02-01,2018-02-01,clergy,js100
MBR-00413,1967-10-02,1994-09-27,,,2034-11-01,2034-11-01,lay,none
MBR-00414,1973-10-10,2016-09-16,,,2034-06-01,2034-06-01,clergy,none
MBR-00415,1964-07-06,2005-04-05,,,2027-07-01,2027-07-01,clergy,js50
MBR-00416,1963-01-14,2001-02-18,,,2032-06-01,2032-06-01,lay,js50
MBR-00417,1972-08-02,2008-03-18,,,2042-08-01,2042-08-01,clergy,none
MBR-00418,1949-11-11,1987-09-01,,,2016-11-01,2016-11-01,clergy,js100
MBR-00419,1948-05-09,1983-09-09,,,,,clergy,js100
MBR-00420,1973-10-05,2001-07-15,,,2041-05-01,2041-05-01,lay,js100
MBR-00421,1968-11-19,2006-01-03,,,2029-12-01,2029-12-01,clergy,js50
MBR-00422,1970-10-11,2008-01-05,,,2037-07-01,2037-07-01,lay,none
MBR-00423,1965-12-01,2007-03-10,,,,,clergy,js50
MBR-00424,1958-12-17,1994-12-19,,,,,lay,none
MBR-00425,1959-04-06,1996-08-21,,,2026-03-01,2026-03-01,clergy,js50
MBR-00426,1952-11-13,1994-09-28,,,2012-12-01,2012-12-01,lay,js100
MBR-00427,1966-06-19,2003-06-09,,,2033-09-01,2033-09-01,clergy,js50
MBR-00428,1949-09-16,1987-03-10,,,,,lay,js50
MBR-00429,1954-03-07,1992-03-02,,,,,clergy,js100
MBR-00430,1969-04-26,1995-11-03,,,2039-04-01,2039-04-01,clergy,js100
MBR-00431,1955-04-08,1982-12-02,,,2024-07-01,2024-07-01,clergy,js50
MBR-00432,1956-11-20,1983-11-10,,,2021-09-01,2021-09-01,lay,js100
MBR-00433,1962-06-13,2001-07-05,,,2031-12-01,2031-12-01,clergy,js50
MBR-00434,1949-08-03,1991-06-16,,,2020-02-01,2020-02-01,clergy,js100
MBR-00435,1969-03-18,1997-07-08,,,2031-02-01,2031-02-01,clergy,js50
MBR-00436,1963-06-20,1988-03-09,,,2024-03-01,2024-03-01,lay,js50
MBR-00437,1946-10-25,1978-06-17,,,,,clergy,none
MBR-00438,1946-05-13,1982-02-06,,,2009-04-01,2009-04-01,lay,js100
MBR-00439,1958-03-25,1989-10-02,,,2029-02-01,2029-02-01,lay,js50
MBR-00440,1953-09-26,1994-02-19,,,2013-10-01,2013-10-01,lay,none
MBR-00441,1966-12-11,1992-02-11,,,,,lay,js100
MBR-00442,1969-04-09,1998-10-26,,,2036-05-01,2036-05-01,clergy,js50
MBR-00443,1952-09-25,1982-03-07,,,,,lay,none
MBR-00444,1951-02-11,1990-08-21,,,2020-08-01,2020-08-01,clergy,none
MBR-00445,1957-10-27,1995-10-04,,,2019-09-01,2019-09-01,lay,none
MBR-00446,1959-05-02,2000-06-01,,,2025-12-01,2025-12-01,lay,js50
MBR-00447,1954-06-27,1987-08-11,,,,,lay,js50
MBR-00448,1946-02-17,1982-01-12,,,2008-08-01,2008-08-01,clergy,js100
MBR-00449,1955-04-05,1979-01-25,,,2019-05-01,2019-05-01,lay,none
MBR-00450,1965-11-02,2001-02-05,,,,,lay,js100
MBR-00451,1975-03-12,2016-04-24,,,2040-07-01,2040-07-01,clergy,js100
MBR-00452,1959-08-01,1983-05-11,,,,,clergy,js100
MBR-00453,1958-06-01,1998-03-16,,,2023-04-01,2023-04-01,clergy,none
MBR-00454,1967-10-25,2009-10-01,,,2031-10-01,2031-10-01,clergy,none
MBR-00455,1950-11-22,1974-04-19,,,2017-08-01,2017-08-01,clergy,js50
MBR-00456,1947-11-19,1974-08-02,,,2011-12-01,2011-12-01,clergy,js50
MBR-00457,1965-03-18,2005-09-27,,,,,clergy,js50
MBR-00458,1953-04-12,1991-12-15,,,2019-09-01,2019-09-01,lay,none
MBR-00459,1969-01-19,2007-03-15,,,,,lay,js100
MBR-00460,1974-07-13,2008-12-07,,,2042-08-01,2042-08-01,clergy,none
MBR-00461,1971-07-07,1995-11-24,,,,,clergy,js50
MBR-00462,1947-09-26,1989-03-14,,,2014-05-01,2014-05-01,lay,js100
MBR-00463,1955-02-06,1992-09-10,,,2019-01-01,2019-01-01,clergy,js50
MBR-00464,1954-08-15,1997-04-08,,,2021-12-01,2021-12-01,lay,js100
MBR-00465,1949-06-08,1992-02-26,,,2009-04-01,2009-04-01,clergy,none
MBR-00466,1961-10-24,2002-08-25,,,2027-01-01,2027-01-01,lay,js50
MBR-00467,1964-11-21,1999-10-04,,,2034-12-01,2034-12-01,lay,js50
MBR-00468,1958-02-12,1983-01-15,,,2022-03-01,2022-03-01,clergy,js50
MBR-00469,1953-08-07,1996-08-19,,,2020-01-01,2020-01-01,clergy,js100
MBR-00470,1952-06-14,1991-08-18,,,2017-05-01,2017-05-01,clergy,none
MBR-00471,1946-12-10,1988-03-10,,,2013-10-01,2013-10-01,lay,none
MBR-00472,1972-04-17,1999-04-21,,,,,lay,js100
MBR-00473,1975-11-08,2015-09-27,,,2044-05-01,2044-05-01,clergy,js100
MBR-00474,1967-10-09,2002-04-04,,,,,clergy,js50
MBR-00475,1951-11-11,1989-04-22,,,,,lay,js100
MBR-00476,1956-01-07,1997-06-07,,,2017-08-01,2017-08-01,clergy,js50
MBR-00477,1958-02-06,2000-02-13,,,2018-05-01,2018-05-01,lay,none
MBR-00478,1946-09-07,1978-05-21,,,2010-07-01,2010-07-01,clergy,js100
MBR-00479,1966-12-25,1992-02-03,,,2028-05-01,2028-05-01,lay,none
MBR-00480,1957-08-14,1986-11-19,,,2027-11-01,2027-11-01,lay,none
MBR-00481,1949-09-27,1981-09-01,,,,,clergy,js50
MBR-00482,1969-12-07,2008-09-22,,,2030-08-01,2030-08-01,clergy,js100
MBR-00483,1974-11-06,2015-08-03,,,,,clergy,js100
MBR-00484,1970-01-05,2000-03-18,,,,,clergy,js100
MBR-00485,1947-11-16,1989-04-22,,,,,lay,js50
MBR-00486,1962-04-14,2002-02-11,,,,,clergy,js100
MBR-00487,1966-12-23,1996-05-03,,,2027-08-01,2027-08-01,clergy,js100
MBR-00488,1957-03-10,1989-12-26,,,2021-11-01,2021-11-01,clergy,js100
MBR-00489,1955-11-09,1994-05-06,,,2026-04-01,2026-04-01,lay,js50
MBR-00490,1948-08-21,1985-02-24,,,2017-10-01,2017-10-01,lay,js100
MBR-00491,1950-03-07,1985-06-07,,,2017-06-01,2017-06-01,clergy,none
MBR-00492,1946-12-18,1980-08-20,,,,,clergy,js100
MBR-00493,1950-04-08,1981-01-12,,,2011-10-01,2011-10-01,lay,js50
MBR-00494,1963-04-21,1988-06-25,,,2025-01-01,2025-01-01,lay,js50
MBR-00495,1951-12-19,1987-04-15,,,2019-11-01,2019-11-01,lay,js50
MBR-00496,1960-05-28,1995-12-02,,,2031-11-01,2031-11-01,clergy,none
MBR-00497,1948-02-21,1972-02-24,,,2011-10-01,2011-10-01,clergy,js50
MBR-00498,1965-09-26,1990-12-05,,,2032-02-01,2032-02-01,clergy,js100
MBR-00499,1969-10-20,2011-12-24,,,2037-07-01,2037-07-01,clergy,js100
MBR-00500,1962-06-12,2002-10-02,,,,,clergy,none
MBR-00501,1954-02-10,1985-03-28,,,2021-07-01,2021-07-01,lay,js50
MBR-00502,1961-08-13,1999-01-12,,,,,clergy,none
MBR-00503,1967-11-11,1993-11-16,,,,,lay,none
MBR-00504,1950-10-16,1979-01-28,,,2017-06-01,2017-06-01,clergy,js100
MBR-00505,1972-12-16,1999-12-14,,,2038-09-01,2038-09-01,clergy,js100
MBR-00506,1975-12-14,2008-03-01,,,2041-08-01,2041-08-01,clergy,js100
MBR-00507,1953-08-09,1996-12-08,,,2014-07-01,2014-07-01,lay,js100
MBR-00508,1958-04-28,1985-04-05,,,2019-01-01,2019-01-01,clergy,js50
MBR-00509,1966-05-02,1999-10-11,,,,,lay,js100
MBR-00510,1949-07-08,1977-02-20,,,2015-09-01,2015-09-01,clergy,js100
MBR-00511,1949-08-18,1984-08-25,,,2018-03-01,2018-03-01,lay,js100
MBR-00512,1949-08-12,1988-01-25,,,2018-06-01,2018-06-01,clergy,js100
MBR-00513,1970-12-13,1999-11-18,,,2035-05-01,2035-05-01,clergy,js50
MBR-00514,1974-10-12,2017-02-06,,,2039-09-01,2039-09-01,clergy,none
MBR-00515,1975-07-27,2010-10-08,,,2042-01-01,2042-01-01,lay,js50
MBR-00516,1946-06-15,1976-08-16,,,2008-11-01,2008-11-01,lay,none
MBR-00517,1974-07-12,2014-02-04,,,2039-12-01,2039-12-01,clergy,none
MBR-00518,1970-08-04,2009-01-24,,,2037-11-01,2037-11-01,clergy,none
MBR-00519,1973-11-07,1997-05-02,,,2037-01-01,2037-01-01,lay,js50
MBR-00520,1968-12-07,2010-06-18,,,2038-12-01,2038-12-01,lay,js100
MBR-00521,1964-01-22,1999-09-14,,,2027-01-01,2027-01-01,clergy,js50
MBR-00522,1974-03-26,2010-02-16,,,2034-02-01,2034-02-01,clergy,js50
MBR-00523,1965-11-26,1991-11-01,,,,,clergy,js100
MBR-00524,1953-04-09,1982-06-16,,,,,lay,js100
MBR-00525,1960-01-26,1990-03-05,,,2024-03-01,2024-03-01,clergy,js100
MBR-00526,1958-12-18,1999-06-20,,,,,lay,js50
MBR-00527,1972-07-05,2014-06-07,,,2035-05-01,2035-05-01,clergy,js100
MBR-00528,1974-07-06,2009-12-11,,,,,clergy,none
MBR-00529,1960-08-02,1988-05-25,,,2020-08-01,2020-08-01,lay,none
MBR-00530,1948-04-28,1986-04-09,,,2018-12-01,2018-12-01,clergy,js100
MBR-00531,1948-12-23,1973-10-21,,,2015-12-01,2015-12-01,clergy,js100
MBR-00532,1947-10-24,1989-06-17,,,2008-09-01,2008-09-01,lay,js100
MBR-00533,1950-01-23,1984-07-19,,,2011-05-01,2011-05-01,lay,none
MBR-00534,1952-12-12,1990-12-10,,,2021-04-01,2021-04-01,clergy,js50
MBR-00535,1946-02-01,1980-07-16,,,2011-01-01,2011-01-01,clergy,js50
MBR-00536,1956-12-19,1995-01-05,,,,,clergy,js50
MBR-00537,1960-02-17,1986-10-07,,,,,clergy,js50
MBR-00538,1971-10-22,1996-02-08,,,,,lay,js100
MBR-00539,1965-10-15,1994-07-01,,,,,lay,js100
MBR-00540,1974-06-25,2017-12-27,,,,,clergy,js50
MBR-00541,1959-09-19,1998-12-21,,,,,clergy,js50
MBR-00542,1969-09-08,2000-02-18,,,2029-02-01,2029-02-01,lay,js50
MBR-00543,1965-07-20,2004-03-05,,,2028-10-01,2028-10-01,clergy,js100
MBR-00544,1947-07-15,1975-06-13,,,,,lay,js100
MBR-00545,1975-07-16,2015-03-03,,,2040-08-01,2040-08-01,lay,js50
MBR-00546,1961-01-27,2004-09-20,,,2024-12-01,2024-12-01,lay,js100
MBR-00547,1950-02-07,1986-08-28,,,2013-10-01,2013-10-01,lay,none
MBR-00548,1954-09-26,1990-06-17,,,2018-01-01,2018-01-01,clergy,js50
MBR-00549,1962-06-28,1994-01-15,,,,,clergy,js50
MBR-00550,1968-03-22,2009-03-28,,,2037-01-01,2037-01-01,lay,js50
MBR-00551,1960-06-26,2000-11-26,,,2028-05-01,2028-05-01,lay,none
MBR-00552,1954-06-02,1991-09-13,,,2022-07-01,2022-07-01,clergy,js100
MBR-00553,1949-04-25,1974-02-09,,,2009-06-01,2009-06-01,clergy,js50
MBR-00554,1971-01-06,2011-02-24,,,2031-02-01,2031-02-01,clergy,none
MBR-00555,1946-05-10,1970-06-24,,,,,clergy,none
MBR-00556,1948-10-26,1989-11-02,,,2009-04-01,2009-04-01,lay,js50
MBR-00557,1973-11-12,2013-06-12,,,2041-07-01,2041-07-01,clergy,js50
MBR-00558,1969-12-03,2011-08-23,,,,,lay,js50
MBR-00559,1972-05-27,2010-06-13,,,2039-05-01,2039-05-01,clergy,js100
MBR-00560,1969-08-26,1997-04-07,,,2033-04-01,2033-04-01,lay,none
MBR-00561,1968-06-25,2001-11-13,,,2039-06-01,2039-06-01,clergy,js100
MBR-00562,1957-04-10,1993-01-16,,,,,clergy,js100
MBR-00563,1973-11-25,2000-11-01,,,2034-04-01,2034-04-01,lay,none
MBR-00564,1960-06-01,1999-09-25,,,2025-07-01,2025-07-01,lay,js50
MBR-00565,1972-01-13,2014-01-11,,,2039-01-01,2039-01-01,clergy,none
MBR-00566,1954-08-15,1988-05-10,,,,,lay,js100
MBR-00567,1950-09-03,1982-06-10,,,2011-04-01,2011-04-01,clergy,js50
MBR-00568,1953-04-09,1995-11-12,,,,,clergy,js50
MBR-00569,1963-12-20,2001-04-24,,,2031-12-01,2031-12-01,lay,js100
MBR-00570,1975-02-20,2001-03-13,,,2044-12-01,2044-12-01,lay,js100
MBR-00571,1964-12-10,1991-06-19,,,2035-02-01,2035-02-01,clergy,js50
MBR-00572,1949-04-20,1985-11-08,,,2019-09-01,2019-09-01,clergy,none
MBR-00573,1960-09-10,2002-05-07,,,2024-03-01,2024-03-01,lay,js50
MBR-00574,1952-12-10,1979-08-09,,,2018-03-01,2018-03-01,clergy,js100
MBR-00575,1975-04-25,2013-09-15,,,,,clergy,none
MBR-00576,1970-01-28,1999-09-25,,,2035-12-01,2035-12-01,clergy,none
MBR-00577,1966-11-04,1998-11-08,,,2031-07-01,2031-07-01,clergy,js100
MBR-00578,1956-12-11,1987-09-28,,,,,clergy,js100
MBR-00579,1975-02-18,2000-02-28,,,,,clergy,js50
MBR-00580,1966-01-18,2003-03-10,,,,,clergy,js50
MBR-00581,1946-08-10,1975-12-27,,,,,clergy,js100
MBR-00582,1968-11-09,2003-05-05,,,2030-04-01,2030-04-01,lay,js100
MBR-00583,1951-05-12,1975-05-14,,,2019-06-01,2019-06-01,clergy,js50
MBR-00584,1957-01-25,1993-10-15,,,2020-01-01,2020-01-01,clergy,js100
MBR-00585,1955-05-16,1992-09-20,,,2023-02-01,2023-02-01,lay,js100
MBR-00586,1962-08-18,1995-06-03,,,,,lay,js50
MBR-00587,1964-09-21,2002-11-08,,,2034-05-01,2034-05-01,lay,none
MBR-00588,1952-05-24,1981-05-13,,,,,lay,js50
MBR-00589,1950-06-21,1992-06-04,,,2010-11-01,2010-11-01,clergy,js100
MBR-00590,1963-03-25,1996-10-23,,,2027-09-01,2027-09-01,lay,js100
MBR-00591,1965-09-20,1997-07-26,,,2033-08-01,2033-08-01,lay,js100
MBR-00592,1955-10-22,1993-08-19,,,2016-12-01,2016-12-01,lay,none
MBR-00593,1965-06-12,1992-12-16,,,,,lay,js100
MBR-00594,1965-04-17,1993-06-09,,,2030-03-01,2030-03-01,lay,none
MBR-00595,1968-12-25,1994-12-26,,,2038-12-01,2038-12-01,clergy,js50
MBR-00596,1951-11-07,1990-04-15,,,2022-02-01,2022-02-01,clergy,js100
MBR-00597,1956-10-17,1993-08-14,,,2021-03-01,2021-03-01,clergy,js100
MBR-00598,1974-05-05,2008-07-11,,,2043-02-01,2043-02-01,clergy,js50
MBR-00599,1964-09-12,1995-08-26,,,2028-11-01,2028-11-01,clergy,js50
MBR-00600,1953-09-12,1991-08-12,,,2018-07-01,2018-07-01,lay,js50
MBR-00601,1951-06-03,1985-05-01,,,,,clergy,js50
MBR-00602,1972-05-10,2000-06-16,,,,,clergy,none
MBR-00603,1956-04-25,1992-04-02,,,,,lay,none
MBR-00604,1973-11-26,2005-06-09,,,,,clergy,none
MBR-00605,1956-03-06,1980-06-15,,,,,clergy,none
MBR-00606,1946-01-26,1989-07-21,,,2009-07-01,2009-07-01,clergy,js100
MBR-00607,1969-06-16,1997-05-27,,,,,clergy,js50
MBR-00608,1973-10-03,1999-05-20,,,2036-11-01,2036-11-01,lay,none
MBR-00609,1975-02-12,2009-02-13,,,,,lay,js50
MBR-00610,1948-02-27,1981-03-07,,,2010-08-01,2010-08-01,lay,js100
MBR-00611,1949-08-17,1988-05-14,,,2015-08-01,2015-08-01,clergy,js50
MBR-00612,1958-09-19,1987-09-06,,,2024-09-01,2024-09-01,lay,none
MBR-00613,1963-12-04,2006-02-14,,,2026-03-01,2026-03-01,clergy,js50
MBR-00614,1947-08-19,1978-07-24,,,,,clergy,js100
MBR-00615,1959-10-04,1997-07-05,,,2026-10-01,2026-10-01,lay,none
MBR-00616,1971-01-27,2002-06-21,,,2035-06-01,2035-06-01,lay,js50
MBR-00617,1973-11-28,2010-03-07,,,2041-10-01,2041-10-01,clergy,js100
MBR-00618,1975-02-23,2012-02-12,,,,,lay,js50
MBR-00619,1967-12-25,1998-03-06,,,2036-07-01,2036-07-01,clergy,js50
MBR-00620,1955-04-05,1996-02-19,,,2017-07-01,2017-07-01,clergy,none
MBR-00621,1975-01-19,2018-08-26,,,,,clergy,js50
MBR-00622,1954-05-18,1985-04-28,,,2016-05-01,2016-05-01,clergy,js100
MBR-00623,1953-08-02,1991-07-23,,,,,lay,none
MBR-00624,1958-09-04,1989-03-17,,,2022-07-01,2022-07-01,clergy,js50
MBR-00625,1966-01-19,2006-03-03,,,,,lay,none
MBR-00626,1957-09-02,1999-05-15,,,2017-09-01,2017-09-01,lay,none
MBR-00627,1959-12-10,1985-02-11,,,,,clergy,js50
MBR-00628,1960-07-15,1998-09-11,,,2021-09-01,2021-09-01,lay,js50
MBR-00629,1962-09-02,1994-06-01,,,2027-08-01,2027-08-01,clergy,none
MBR-00630,1948-09-12,1973-06-01,,,,,clergy,none
MBR-00631,1971-09-15,2006-01-01,,,2037-04-01,2037-04-01,clergy,none
MBR-00632,1964-11-19,1992-12-12,,,,,clergy,js50
MBR-00633,1948-02-08,1974-08-01,,,,,clergy,js100
MBR-00634,1957-05-19,1995-10-25,,,,,lay,js100
MBR-00635,1973-01-05,2001-05-13,,,2042-09-01,2042-09-01,lay,js100
MBR-00636,1954-12-27,1979-09-17,,,,,lay,js50
MBR-00637,1955-08-19,1984-12-11,,,2018-07-01,2018-07-01,clergy,none
MBR-00638,1956-05-14,1992-04-18,,,2023-02-01,2023-02-01,clergy,js50
MBR-00639,1970-02-15,2000-01-18,,,2037-03-01,2037-03-01,lay,none
MBR-00640,1975-10-22,2002-04-25,,,2040-10-01,2040-10-01,clergy,js100
MBR-00641,1967-03-01,2002-09-06,,,2029-03-01,2029-03-01,clergy,none
MBR-00642,1952-06-13,1988-04-21,,,,,clergy,none
MBR-00643,1958-09-08,1984-09-18,,,2027-11-01,2027-11-01,clergy,js100
MBR-00644,1968-06-06,2009-10-21,,,2039-02-01,2039-02-01,clergy,js50
MBR-00645,1974-10-23,1999-01-04,,,2037-02-01,2037-02-01,lay,js100
MBR-00646,1956-12-20,1994-01-11,,,2020-03-01,2020-03-01,clergy,js100
MBR-00647,1962-11-11,1994-03-07,,,2025-05-01,2025-05-01,clergy,js100
MBR-00648,1964-12-02,1998-06-27,,,2034-11-01,2034-11-01,clergy,none
MBR-00649,1963-05-02,1991-05-25,,,2029-11-01,2029-11-01,lay,js100
MBR-00650,1960-02-27,1985-04-08,,,2026-08-01,2026-08-01,clergy,js100
MBR-00651,1949-09-04,1981-06-21,,,2019-12-01,2019-12-01,lay,none
MBR-00652,1959-10-09,2000-10-17,,,,,lay,js100
MBR-00653,1946-05-01,1981-05-23,,,2008-08-01,2008-08-01,lay,js100
MBR-00654,1958-08-27,1985-08-07,,,2025-08-01,2025-08-01,clergy,js100
MBR-00655,1975-01-15,2006-08-16,,,2038-12-01,2038-12-01,clergy,js50
MBR-00656,1975-05-27,2010-11-23,,,2043-10-01,2043-10-01,clergy,js100
MBR-00657,1971-05-22,2013-06-18,,,,,lay,js100
MBR-00658,1962-06-03,2001-06-04,,,,,clergy,none
MBR-00659,1969-06-01,2010-05-11,,,2032-07-01,2032-07-01,clergy,js100
MBR-00660,1974-06-14,2001-01-08,,,2042-07-01,2042-07-01,clergy,none
MBR-00661,1946-12-10,1977-03-13,,,,,lay,none
MBR-00662,1963-07-19,1997-03-01,,,,,clergy,none
MBR-00663,1970-04-22,2005-04-27,,,2035-03-01,2035-03-01,clergy,none
MBR-00664,1964-12-13,1997-02-09,,,,,clergy,js100
MBR-00665,1967-05-22,1998-06-06,,,2038-05-01,2038-05-01,clergy,js50
MBR-00666,1974-09-04,2010-10-19,,,2035-07-01,2035-07-01,clergy,js100
MBR-00667,1957-02-22,1988-05-12,,,2027-07-01,2027-07-01,lay,js100
MBR-00668,1971-08-28,1996-03-01,,,2040-02-01,2040-02-01,clergy,none
MBR-00669,1951-05-17,1976-12-26,,,2018-03-01,2018-03-01,clergy,none
MBR-00670,1952-10-05,1983-10-25,,,2013-12-01,2013-12-01,clergy,js50
MBR-00671,1974-05-21,2000-02-13,,,2038-02-01,2038-02-01,clergy,js100
MBR-00672,1950-04-10,1978-11-08,,,2013-12-01,2013-12-01,lay,js100
MBR-00673,1946-12-15,1972-12-08,,,2013-05-01,2013-05-01,clergy,none
MBR-00674,1962-04-14,1990-11-17,,,,,clergy,none
MBR-00675,1954-12-02,1978-08-19,,,2017-06-01,2017-06-01,lay,js100
MBR-00676,1955-11-20,1992-12-01,,,,,lay,js50
MBR-00677,1972-11-19,1996-03-10,,,2040-01-01,2040-01-01,clergy,js100
MBR-00678,1969-05-12,2008-10-21,,,,,clergy,js50
MBR-00679,1974-04-20,2012-07-22,,,2035-09-01,2035-09-01,lay,none
MBR-00680,1969-01-19,2002-03-05,,,,,lay,js100
MBR-00681,1954-08-01,1978-07-24,,,2020-04-01,2020-04-01,clergy,js50
MBR-00682,1975-02-24,2004-04-05,,,2046-01-01,2046-01-01,lay,js100
MBR-00683,1947-09-26,1977-07-18,,,2008-02-01,2008-02-01,clergy,js50
MBR-00684,1958-10-23,1990-12-19,,,2025-08-01,2025-08-01,clergy,none
MBR-00685,1963-07-17,1987-08-19,,,2026-09-01,2026-09-01,lay,js100
MBR-00686,1968-04-07,2002-06-07,,,2028-07-01,2028-07-01,lay,js50
MBR-00687,1974-10-17,2007-04-02,,,2037-02-01,2037-02-01,lay,js100
MBR-00688,1948-08-04,1982-09-19,,,2017-01-01,2017-01-01,lay,none
MBR-00689,1963-03-02,2002-03-28,,,2032-04-01,2032-04-01,clergy,none
MBR-00690,1961-07-27,1989-07-11,,,,,clergy,js100
MBR-00691,1952-03-23,1995-01-02,,,2019-11-01,2019-11-01,clergy,none
MBR-00692,1972-05-25,1996-08-24,,,2032-10-01,2032-10-01,clergy,js100
MBR-00693,1962-07-28,1997-05-17,,,2029-02-01,2029-02-01,lay,none
MBR-00694,1965-08-17,2006-04-05,,,2028-01-01,2028-01-01,lay,js100
MBR-00695,1964-08-15,2000-10-25,,,,,clergy,js50
MBR-00696,1963-04-09,1996-02-25,,,,,clergy,js100
MBR-00697,1967-02-25,1996-03-23,,,2035-09-01,2035-09-01,lay,js50
MBR-00698,1961-04-07,1994-04-04,,,2022-09-01,2022-09-01,clergy,none
